sector,link,Ministry/Organization Name,id
"Finance, Banking & Insurance",https://www.drt2chennai.tn.nic.in,"Debts Recovery Tribunal No 2, Chennai",127
"Finance, Banking & Insurance",https://cexstshillong.gov.in,"Central Excise, Shillong",128
"Finance, Banking & Insurance",https://vat.goa.gov.in,"Commercial Taxes Department, Goa",129
"Finance, Banking & Insurance",https://www.newindia.co.in,New India Assurance Co. Ltd,130
"Finance, Banking & Insurance",https://pensionmanipur.nic.in,"Online Pension Payment System, Manipur",131
"Finance, Banking & Insurance",https://budget.up.nic.in,"Budget, Uttar Pradesh",132
"Finance, Banking & Insurance",https://www.jawaharcustoms.gov.in,Jawaharlal Nehru Custom House,133
"Finance, Banking & Insurance",https://swachhatahiseva.gov.in,Swachhata Hi Seva 2024,134
"Finance, Banking & Insurance",https://incometaxindia.gov.in/pages/about-us/central-board-of-direct-taxation.aspx,Central Board of Direct Taxes (CBDT),135
"Finance, Banking & Insurance",https://www.kolkatacustoms.gov.in,Kolkata Customs,136
"Finance, Banking & Insurance",https://nagalandtenders.gov.in,"eProcurement System, Nagaland",137
"Finance, Banking & Insurance",https://cgstranchi.gov.in/dhnbad_area.php,"Dhanbad Commissionerate, Central Excise and Service Tax",139
"Finance, Banking & Insurance",https://tnincometax.gov.in,"Income Tax Department, Tamil Nadu and Pudhucherry",140
"Finance, Banking & Insurance",https://gsfc.gujarat.gov.in,"Gujarat State Financial Corporation, Gujarat",141
"Finance, Banking & Insurance",https://incometaxrajasthan.gov.in,"Income Tax Department, Rajasthan",142
"Finance, Banking & Insurance",https://revenueappeals.gujarat.gov.in,"Special Secretary (Disputes), Gujarat",143
"Finance, Banking & Insurance",https://www.gstvdr2.gov.in,"Commissionerate of Central Excise and Customs, Vadodara - II",144
"Finance, Banking & Insurance",https://www.drat.tn.nic.in,"Debt Recovery Appellate Tribunal (DRAT), Chennai",145
"Finance, Banking & Insurance",https://cgstvdr1.gov.in,"Central GST & Central Excise Commissionerate, Vadodara-I, Gujarat",146
"Finance, Banking & Insurance",https://manipurtenders.gov.in,"eProcurement System, Manipur",148
"Finance, Banking & Insurance",https://naaa.nic.in,"National Academy of Audit and Accounts, Shimla, HP, India",149
"Finance, Banking & Insurance",https://web.merabill.gst.gov.in,Mera Bill Mera Adhikaar,150
"Finance, Banking & Insurance",https://gstdelhizone.gov.in,"Goods and Services Tax and Central Excise (GST), Delhi Zone",152
"Finance, Banking & Insurance",https://cenexbhavnagar.nic.in,"Central Board of Excise and Customs (CBEC), Bhavnagar",153
"Finance, Banking & Insurance",https://dghrdcbic.gov.in,Directorate General of Human Resource Development,154
"Finance, Banking & Insurance",https://einvoice1.gst.gov.in,e-Invoice System,155
"Finance, Banking & Insurance",https://cgsttirupati.gov.in,"Tirupati CGST Commissionerate, Andhra Pradesh",156
"Finance, Banking & Insurance",https://www.cgstranchi.gov.in,"Ranchi(II) Bokaro Commissionerate, Central Excise And Service Tax",157
"Finance, Banking & Insurance",https://www.drtmadurai.tn.nic.in,Debt Recovery Tribunal (Madurai),158
"Finance, Banking & Insurance",https://fiuindia.gov.in,Financial Intelligence Unit (FIU-IND),159
"Finance, Banking & Insurance",https://dta.rajasthan.gov.in,"Department of Treasuries & Accounts (DTA), Rajasthan",160
"Finance, Banking & Insurance",https://ifms.punjab.gov.in,"Next Gen Integrated Financial Management System - IFMS, Punjab",161
"Finance, Banking & Insurance",https://www.spmcil.com,Security Printing and Minting Corporation of India Limited (SPMCIL),162
"Finance, Banking & Insurance",https://www.prohibition-excise.gujarat.gov.in,"Narcotics and Excise Account, Gujarat",163
"Finance, Banking & Insurance",https://www.ndml.in,NSDL Database Management Limited (NDML),165
"Finance, Banking & Insurance",https://sbkosh.gov.in,Swachh Bharat Kosh (SBK),166
"Finance, Banking & Insurance",https://cgstujjain.gov.in/en,"CGST & Central Excise, Ujjain Commissionerate",168
"Finance, Banking & Insurance",https://www.jansamarth.in/home,JanSamarth-National Portal for Government Sponsored Schemes,169
"Finance, Banking & Insurance",https://gst.kar.nic.in,"Goods and Services Tax (GST), Commercial Taxes Department, Karnataka",170
"Finance, Banking & Insurance",https://www.sebi.gov.in,Securities and Exchange Board of India (SEBI),171
"Finance, Banking & Insurance",https://jkdat.nic.in,"Directorate General Of Accounts and Treasuries, Jammu and Kashmir",172
"Finance, Banking & Insurance",https://www.dgantiprofiteering.gov.in,"Directorate General of Anti-profiteering, Central Board of Indirect Taxes and Customs",173
"Finance, Banking & Insurance",https://wbprofessiontax.gov.in,"Profession Tax, West Bengal",174
"Finance, Banking & Insurance",https://beams.mahakosh.gov.in,"Budget Estimation, Allocation and Monitoring System (BEAMS), Maharashtra",176
"Finance, Banking & Insurance",https://dppf.gujarat.gov.in,"Directorate of Pension and Provident Fund, Gujarat",177
"Finance, Banking & Insurance",https://www.damancgst.gov.in,"Central GST and Central Excise Commissionerate, Daman",178
"Finance, Banking & Insurance",https://airportspecialcargo.gov.in,"Airport Special Cargo, Mumbai Customs Zone - III",180
"Finance, Banking & Insurance",https://www.aptemples.ap.gov.in,Andhra Pradesh Temples Portal,181
"Finance, Banking & Insurance",https://aeoindia.gov.in,"Authorised Economic Operator Programme, Indian Customs (AEO)",182
"Finance, Banking & Insurance",https://uiic.co.in,United India Insurance Company Limited,183
"Finance, Banking & Insurance",https://www.wbifms.gov.in,"Integrated Financial Management System - iFMS, West Bengal",184
"Finance, Banking & Insurance",https://cenexcisekochi.gov.in,"Central Excise, Service Tax and Customs, Cochin",185
"Finance, Banking & Insurance",https://gstraipuraudit.gov.in,"Central Goods and Service Tax, Raipur",186
"Finance, Banking & Insurance",https://slbcne.nic.in,State Level Bankers' Committee - North Eastern States,187
"Finance, Banking & Insurance",https://www.dicgc.org.in,"Deposit Insurance and Credit Guarantee Corporation, Mumbai",188
"Finance, Banking & Insurance",https://cbic-gst.gov.in,GST portal of Central Board of Indirect Taxes and Customs (CBIC),189
"Finance, Banking & Insurance",https://iced.cag.gov.in,"International Centre for Environment Audit and Sustainable Development (iCED), Jaipur",191
"Finance, Banking & Insurance",https://mocrefund.crcs.gov.in,CRCS-Sahara Refund Portal,192
"Finance, Banking & Insurance",https://dat.py.gov.in,"Directorate of Accounts and Treasuries, Puducherry",193
"Finance, Banking & Insurance",https://arthwahini.mahakosh.gov.in,"ARTHWAHINI - Management System for TreasuryNet, Maharashtra",194
"Finance, Banking & Insurance",https://www.ies.gov.in,Indian Economic Service (IES),195
"Finance, Banking & Insurance",https://ccpmumbai.gov.in,"Commissioner of Customs (Preventive), Mumbai",196
"Finance, Banking & Insurance",https://www.cra.tn.gov.in,"Commissionerate of Revenue Administration and Disaster Management, Tamil Nadu",197
"Finance, Banking & Insurance",https://ecostat.telangana.gov.in,"Directorate of Economics and Statistics, Telangana",198
"Finance, Banking & Insurance",https://camumbai.gov.in,"Competent Authority (CA), Chennai",199
"Finance, Banking & Insurance",https://www.mumbaicustomszone1.gov.in,Mumbai Customs Zone-1,200
"Finance, Banking & Insurance",https://statelottery.kerala.gov.in,"Kerala Lottery, Kerala",202
"Finance, Banking & Insurance",https://chennaicustoms.gov.in,Chennai Customs Zone,204
"Finance, Banking & Insurance",https://pehchan.raj.nic.in,Rajasthan Civil Registration System,205
"Finance, Banking & Insurance",https://pudutenders.gov.in,"eProcurement System, Puducherry",206
"Finance, Banking & Insurance",https://www.licindia.in,Life Insurance Corporation of India (LIC),207
"Finance, Banking & Insurance",https://www.irsofficersonline.gov.in,Web Portal for Indian Revenue Service (IRS) Officers,209
"Finance, Banking & Insurance",https://www.cbic.gov.in,Central Board of indirect Taxes and Customs,210
"Finance, Banking & Insurance",https://www.arpit.gov.in,"Principal Chief Controller of Accounts, Central Board of Excise and Customs (CCA - CBEC)",211
"Finance, Banking & Insurance",https://accmumbai.gov.in,"Air Cargo Complex, Mumbai Customs",212
"Finance, Banking & Insurance",https://mundracustoms.gov.in,"Office of the Principal Commissioner of Customs, Mundra Port, Kachchh",213
"Finance, Banking & Insurance",https://www.utiitsl.com,UTI Infrastructure Technology And Services Limited (UTIITSL),214
"Finance, Banking & Insurance",https://cexpatna.bih.nic.in,"Central GST and Central Excise Commissionerate, Patna",216
"Finance, Banking & Insurance",https://jharkhandtenders.gov.in,"eProcurement System, Jharkhand",217
"Finance, Banking & Insurance",https://cgstappealsallahabad.gov.in,Office of the Commissioner (Appeals) - Prayagraj,218
"Finance, Banking & Insurance",https://desorissa.nic.in,"Directorate of Economics & Statistics, Odisha",219
"Finance, Banking & Insurance",https://wbhealthscheme.gov.in,"West Bengal Health Scheme Portal, West Bengal",220
"Finance, Banking & Insurance",https://www.upexciseportal.in,"Excise Department, Uttar Pradesh",221
"Finance, Banking & Insurance",https://dlacbic.gov.in,Directorate of Legal Affairs,222
"Finance, Banking & Insurance",https://kandlacustoms.gov.in,Kandla Customs,223
"Finance, Banking & Insurance",https://wbaasprofile.gov.in,"Service Record Monitoring System, West Bengal",224
"Finance, Banking & Insurance",https://dat.gujarat.gov.in,"Directorate of Accounts and Treasuries, Gujarat",225
