sector,organization_link,result_count,link,text,has_robots_txt
"Finance, Banking & Insurance",https://igod.gov.in/sector/CBNsIHQBsvhI6u6Q3tju/organizations,326,https://rajasthancustoms.gov.in,"Customs Commissionarate (Preventive), Rajasthan",False
"Finance, Banking & Insurance",https://igod.gov.in/sector/CBNsIHQBsvhI6u6Q3tju/organizations,326,https://www.punecustoms.nic.in,Pune Customs,False
"Finance, Banking & Insurance",https://igod.gov.in/sector/CBNsIHQBsvhI6u6Q3tju/organizations,326,#main-content,Skip to Main Content,False
"Finance, Banking & Insurance",https://igod.gov.in/sector/CBNsIHQBsvhI6u6Q3tju/organizations,326,https://jiyoparsi.minorityaffairs.gov.in,Jiyo Parsi Scheme Portal,False
"Finance, Banking & Insurance",https://igod.gov.in/sector/CBNsIHQBsvhI6u6Q3tju/organizations,326,https://wbtenders.gov.in,"eProcurement System, West Bengal",False
"Finance, Banking & Insurance",https://igod.gov.in/sector/CBNsIHQBsvhI6u6Q3tju/organizations,326,https://coimbatoregst.gov.in,"Central GST Commissionerate, Coimbatore, Tamil Nadu",False
"Finance, Banking & Insurance",https://igod.gov.in/sector/CBNsIHQBsvhI6u6Q3tju/organizations,326,https://mahakosh.maharashtra.gov.in,"Directorate of Accounts and Treasuries, Maharashtra",False
"Finance, Banking & Insurance",https://igod.gov.in/sector/CBNsIHQBsvhI6u6Q3tju/organizations,326,https://www.npstrust.org.in,National Pension System and Trust,False
"Finance, Banking & Insurance",https://igod.gov.in/sector/CBNsIHQBsvhI6u6Q3tju/organizations,326,https://cbec-gst.gov.in,"Goods and Services Tax, Central Board of Excise and Customs (GST, CBEC)",False
"Finance, Banking & Insurance",https://igod.gov.in/sector/CBNsIHQBsvhI6u6Q3tju/organizations,326,https://www.drt2chennai.tn.nic.in,"Debts Recovery Tribunal No 2, Chennai",False
"Finance, Banking & Insurance",https://igod.gov.in/sector/CBNsIHQBsvhI6u6Q3tju/organizations,326,https://cexstshillong.gov.in,"Central Excise, Shillong",False
"Finance, Banking & Insurance",https://igod.gov.in/sector/CBNsIHQBsvhI6u6Q3tju/organizations,326,https://vat.goa.gov.in,"Commercial Taxes Department, Goa",False
"Finance, Banking & Insurance",https://igod.gov.in/sector/CBNsIHQBsvhI6u6Q3tju/organizations,326,https://www.newindia.co.in,New India Assurance Co. Ltd,True
"Finance, Banking & Insurance",https://igod.gov.in/sector/CBNsIHQBsvhI6u6Q3tju/organizations,326,https://pensionmanipur.nic.in,"Online Pension Payment System, Manipur",False
"Finance, Banking & Insurance",https://igod.gov.in/sector/CBNsIHQBsvhI6u6Q3tju/organizations,326,https://budget.up.nic.in,"Budget, Uttar Pradesh",False
"Finance, Banking & Insurance",https://igod.gov.in/sector/CBNsIHQBsvhI6u6Q3tju/organizations,326,https://www.jawaharcustoms.gov.in,Jawaharlal Nehru Custom House,False
"Finance, Banking & Insurance",https://igod.gov.in/sector/CBNsIHQBsvhI6u6Q3tju/organizations,326,https://swachhatahiseva.gov.in,Swachhata Hi Seva 2024,True
"Finance, Banking & Insurance",https://igod.gov.in/sector/CBNsIHQBsvhI6u6Q3tju/organizations,326,https://incometaxindia.gov.in/pages/about-us/central-board-of-direct-taxation.aspx,Central Board of Direct Taxes (CBDT),False
"Finance, Banking & Insurance",https://igod.gov.in/sector/CBNsIHQBsvhI6u6Q3tju/organizations,326,https://www.kolkatacustoms.gov.in,Kolkata Customs,True
"Finance, Banking & Insurance",https://igod.gov.in/sector/CBNsIHQBsvhI6u6Q3tju/organizations,326,https://nagalandtenders.gov.in,"eProcurement System, Nagaland",False
"Finance, Banking & Insurance",https://igod.gov.in/sector/CBNsIHQBsvhI6u6Q3tju/organizations,326,https://igod.gov.in,,True
"Finance, Banking & Insurance",https://igod.gov.in/sector/CBNsIHQBsvhI6u6Q3tju/organizations,326,https://cgstranchi.gov.in/dhnbad_area.php,"Dhanbad Commissionerate, Central Excise and Service Tax",False
"Finance, Banking & Insurance",https://igod.gov.in/sector/CBNsIHQBsvhI6u6Q3tju/organizations,326,https://tnincometax.gov.in,"Income Tax Department, Tamil Nadu and Pudhucherry",False
"Finance, Banking & Insurance",https://igod.gov.in/sector/CBNsIHQBsvhI6u6Q3tju/organizations,326,https://gsfc.gujarat.gov.in,"Gujarat State Financial Corporation, Gujarat",True
"Finance, Banking & Insurance",https://igod.gov.in/sector/CBNsIHQBsvhI6u6Q3tju/organizations,326,https://incometaxrajasthan.gov.in,"Income Tax Department, Rajasthan",False
"Finance, Banking & Insurance",https://igod.gov.in/sector/CBNsIHQBsvhI6u6Q3tju/organizations,326,https://revenueappeals.gujarat.gov.in,"Special Secretary (Disputes), Gujarat",False
"Finance, Banking & Insurance",https://igod.gov.in/sector/CBNsIHQBsvhI6u6Q3tju/organizations,326,https://www.gstvdr2.gov.in,"Commissionerate of Central Excise and Customs, Vadodara - II",False
"Finance, Banking & Insurance",https://igod.gov.in/sector/CBNsIHQBsvhI6u6Q3tju/organizations,326,https://www.drat.tn.nic.in,"Debt Recovery Appellate Tribunal (DRAT), Chennai",False
"Finance, Banking & Insurance",https://igod.gov.in/sector/CBNsIHQBsvhI6u6Q3tju/organizations,326,https://cgstvdr1.gov.in,"Central GST & Central Excise Commissionerate, Vadodara-I, Gujarat",False
"Finance, Banking & Insurance",https://igod.gov.in/sector/CBNsIHQBsvhI6u6Q3tju/organizations,326,https://www.nic.in/,,True
"Finance, Banking & Insurance",https://igod.gov.in/sector/CBNsIHQBsvhI6u6Q3tju/organizations,326,https://manipurtenders.gov.in,"eProcurement System, Manipur",False
"Finance, Banking & Insurance",https://igod.gov.in/sector/CBNsIHQBsvhI6u6Q3tju/organizations,326,https://naaa.nic.in,"National Academy of Audit and Accounts, Shimla, HP, India",False
"Finance, Banking & Insurance",https://igod.gov.in/sector/CBNsIHQBsvhI6u6Q3tju/organizations,326,https://web.merabill.gst.gov.in,Mera Bill Mera Adhikaar,False
"Finance, Banking & Insurance",https://igod.gov.in/sector/CBNsIHQBsvhI6u6Q3tju/organizations,326,https://igod.gov.in/link_to_us,Link,False
"Finance, Banking & Insurance",https://igod.gov.in/sector/CBNsIHQBsvhI6u6Q3tju/organizations,326,https://gstdelhizone.gov.in,"Goods and Services Tax and Central Excise (GST), Delhi Zone",False
"Finance, Banking & Insurance",https://igod.gov.in/sector/CBNsIHQBsvhI6u6Q3tju/organizations,326,https://cenexbhavnagar.nic.in,"Central Board of Excise and Customs (CBEC), Bhavnagar",False
