sector,organization_link,result_count,link,text
"Finance, Banking & Insurance",https://igod.gov.in/sector/CBNsIHQBsvhI6u6Q3tju/organizations,326,https://www.indiagovtmint.in,Security Printing & Minting Corporation of India Ltd.
"Finance, Banking & Insurance",https://igod.gov.in/sector/CBNsIHQBsvhI6u6Q3tju/organizations,326,https://cenexgstvizag1.gov.in,"Central Excise, Customs and Service Tax Commissionerate, Visakhapatnam  I"
"Finance, Banking & Insurance",https://igod.gov.in/sector/CBNsIHQBsvhI6u6Q3tju/organizations,326,https://finance.jharkhand.gov.in,"Finance Department, Jharkhand"
"Finance, Banking & Insurance",https://igod.gov.in/sector/CBNsIHQBsvhI6u6Q3tju/organizations,326,https://apcob.org,"The Andhra Pradesh State Co-operative Bank Ltd., Andhra Pradesh"
"Finance, Banking & Insurance",https://igod.gov.in/sector/CBNsIHQBsvhI6u6Q3tju/organizations,326,https://chitfund.delhi.gov.in,"Chit Fund Department, Delhi"
"Finance, Banking & Insurance",https://igod.gov.in/sector/CBNsIHQBsvhI6u6Q3tju/organizations,326,https://settlementcommission-cest.gov.in,"Settlement Commission, Customs, Central Excise and Service Tax"
"Finance, Banking & Insurance",https://igod.gov.in/sector/CBNsIHQBsvhI6u6Q3tju/organizations,326,https://cgstkanpur.gov.in,"Goods and Service Tax and Central Excise (GST), Kanpur"
"Finance, Banking & Insurance",https://igod.gov.in/sector/CBNsIHQBsvhI6u6Q3tju/organizations,326,https://customspatna.gov.in,"Commissioner of Customs (Prevention), Patna, Bihar"
"Finance, Banking & Insurance",https://igod.gov.in/sector/CBNsIHQBsvhI6u6Q3tju/organizations,326,https://www.skilldevelopment.gov.in,National Skill Development Fund/Trust
"Finance, Banking & Insurance",https://igod.gov.in/sector/CBNsIHQBsvhI6u6Q3tju/organizations,326,https://www.arunachalplan.gov.in,"Finance-Planning & Investment Department, Arunachal Pradesh"
"Finance, Banking & Insurance",https://igod.gov.in/sector/CBNsIHQBsvhI6u6Q3tju/organizations,326,https://kpepf.lsgkerala.gov.in,"STHAPANA - KPEPF Kerala Panchayat Employees Provident Fund, Kerala"
"Finance, Banking & Insurance",https://igod.gov.in/sector/CBNsIHQBsvhI6u6Q3tju/organizations,326,https://sat.gov.in,"Securities Appellate Tribunal, Mumbai"
"Finance, Banking & Insurance",https://igod.gov.in/sector/CBNsIHQBsvhI6u6Q3tju/organizations,326,https://cexauditjaipur.gov.in,"Commissioner (Audit), Central Excise and Service Tax, Jaipur"
"Finance, Banking & Insurance",https://igod.gov.in/sector/CBNsIHQBsvhI6u6Q3tju/organizations,326,https://excise.delhi.gov.in,"Excise, Entertainment & Luxury Tax Department, Delhi"
"Finance, Banking & Insurance",https://igod.gov.in/sector/CBNsIHQBsvhI6u6Q3tju/organizations,326,https://www.commissionercustomslucknow.gov.in,"Commissioner Customs (Preventive), Lucknow"
"Finance, Banking & Insurance",https://igod.gov.in/sector/CBNsIHQBsvhI6u6Q3tju/organizations,326,https://bankofmaharashtra.in,Bank of Maharashtra
"Finance, Banking & Insurance",https://igod.gov.in/sector/CBNsIHQBsvhI6u6Q3tju/organizations,326,https://cgsthyderabadzone.gov.in,"Goods and Services Tax (GST), Hyderabad Zone"
"Finance, Banking & Insurance",https://igod.gov.in/sector/CBNsIHQBsvhI6u6Q3tju/organizations,326,https://egazette.bih.nic.in,"e-Gazette, Bihar"
"Finance, Banking & Insurance",https://igod.gov.in/sector/CBNsIHQBsvhI6u6Q3tju/organizations,326,https://www.tnbudget.tn.gov.in,"Government Budget Text 2023-2024, Tamil Nadu"
"Finance, Banking & Insurance",https://igod.gov.in/sector/CBNsIHQBsvhI6u6Q3tju/organizations,326,https://ccolkozone.gov.in,"Customs, Central Excise and Service Tax Zone, Lucknow"
"Finance, Banking & Insurance",https://igod.gov.in/sector/CBNsIHQBsvhI6u6Q3tju/organizations,326,https://www.incometaxhyderabad.gov.in,"Income Tax Department, Andhra Pradesh and Telangana State"
"Finance, Banking & Insurance",https://igod.gov.in/sector/CBNsIHQBsvhI6u6Q3tju/organizations,326,https://apct.gov.in,"Commercial Taxes Department, Andhra Pradesh"
"Finance, Banking & Insurance",https://igod.gov.in/sector/CBNsIHQBsvhI6u6Q3tju/organizations,326,https://digitalindia.gov.in/,
"Finance, Banking & Insurance",https://igod.gov.in/sector/CBNsIHQBsvhI6u6Q3tju/organizations,326,https://www.drt3chennai.tn.nic.in,"Debts Recovery Tribunal No 3, Chennai"
"Finance, Banking & Insurance",https://igod.gov.in/sector/CBNsIHQBsvhI6u6Q3tju/organizations,326,https://www.cochincustoms.gov.in,Custom House (Cochin)
"Finance, Banking & Insurance",https://igod.gov.in/sector/CBNsIHQBsvhI6u6Q3tju/organizations,326,https://trichy.gstchennai.gov.in,"Central Excise, Trichy"
"Finance, Banking & Insurance",https://igod.gov.in/sector/CBNsIHQBsvhI6u6Q3tju/organizations,326,https://goaexcise.gov.in,"Excise Department, Goa"
"Finance, Banking & Insurance",https://igod.gov.in/sector/CBNsIHQBsvhI6u6Q3tju/organizations,326,https://www.icai.org,Institute of Chartered Accountants of India (ICAI)
"Finance, Banking & Insurance",https://igod.gov.in/sector/CBNsIHQBsvhI6u6Q3tju/organizations,326,https://cgstvadodarazone.gov.in,"Chief Commissioner - CGST & C.Ex, Vadodara Zone, Gujarat"
"Finance, Banking & Insurance",https://igod.gov.in/sector/CBNsIHQBsvhI6u6Q3tju/organizations,326,https://cgstauditlko.gov.in,Central Goods and Services Tax Audit Lucknow
"Finance, Banking & Insurance",https://igod.gov.in/sector/CBNsIHQBsvhI6u6Q3tju/organizations,326,https://www.centralexcisechennai.gov.in,"Central Excise, Chennai"
"Finance, Banking & Insurance",https://igod.gov.in/sector/CBNsIHQBsvhI6u6Q3tju/organizations,326,https://cga.gov.in,Controller General of Accounts (CGA)
"Finance, Banking & Insurance",https://igod.gov.in/sector/CBNsIHQBsvhI6u6Q3tju/organizations,326,https://cgstujjain.gov.in,"Principal Commissioner Custom Central Excise and Central GST, Ujjain"
"Finance, Banking & Insurance",https://igod.gov.in/sector/CBNsIHQBsvhI6u6Q3tju/organizations,326,https://rajasthancustoms.gov.in,"Customs Commissionarate (Preventive), Rajasthan"
"Finance, Banking & Insurance",https://igod.gov.in/sector/CBNsIHQBsvhI6u6Q3tju/organizations,326,https://www.punecustoms.nic.in,Pune Customs
"Finance, Banking & Insurance",https://igod.gov.in/sector/CBNsIHQBsvhI6u6Q3tju/organizations,326,#main-content,Skip to Main Content
"Finance, Banking & Insurance",https://igod.gov.in/sector/CBNsIHQBsvhI6u6Q3tju/organizations,326,https://jiyoparsi.minorityaffairs.gov.in,Jiyo Parsi Scheme Portal
"Finance, Banking & Insurance",https://igod.gov.in/sector/CBNsIHQBsvhI6u6Q3tju/organizations,326,https://wbtenders.gov.in,"eProcurement System, West Bengal"
"Finance, Banking & Insurance",https://igod.gov.in/sector/CBNsIHQBsvhI6u6Q3tju/organizations,326,https://coimbatoregst.gov.in,"Central GST Commissionerate, Coimbatore, Tamil Nadu"
"Finance, Banking & Insurance",https://igod.gov.in/sector/CBNsIHQBsvhI6u6Q3tju/organizations,326,https://mahakosh.maharashtra.gov.in,"Directorate of Accounts and Treasuries, Maharashtra"
"Finance, Banking & Insurance",https://igod.gov.in/sector/CBNsIHQBsvhI6u6Q3tju/organizations,326,https://www.npstrust.org.in,National Pension System and Trust
